目标距离：50,步长：5
0:(X,Y) = (0,0)
1:(X,Y) = (4.92404,-0.868241)
2:(X,Y) = (5.6199,4.0831)
3:(X,Y) = (3.34995,8.53813)
4:(X,Y) = (-1.55818,9.49218)
5:(X,Y) = (1.65575,13.3224)
6:(X,Y) = (5.31252,16.7324)
7:(X,Y) = (1.31934,13.7233)
8:(X,Y) = (6.21008,14.7629)
9:(X,Y) = (11.1008,13.7233)
10:(X,Y) = (10.405,18.6747)
11:(X,Y) = (15.3131,19.6287)
12:(X,Y) = (16.0953,24.5671)
13:(X,Y) = (12.815,28.3407)
14:(X,Y) = (10.545,32.7957)
15:(X,Y) = (5.57241,32.2731)
16:(X,Y) = (0.817124,30.728)
17:(X,Y) = (-1.90607,34.9213)
18:(X,Y) = (-6.3611,37.1913)
19:(X,Y) = (-3.01545,33.4756)
20:(X,Y) = (1.27039,30.9004)
21:(X,Y) = (4.61604,27.1847)
22:(X,Y) = (1.74816,23.0889)
23:(X,Y) = (4.09551,18.6742)
24:(X,Y) = (4.18278,13.6749)
25:(X,Y) = (6.37463,9.18096)
26:(X,Y) = (11.2987,10.0492)
27:(X,Y) = (9.50683,5.38129)
28:(X,Y) = (12.9168,1.72453)
29:(X,Y) = (10.4928,-2.64857)
30:(X,Y) = (11.7024,2.20291)
31:(X,Y) = (16.6651,2.81225)
32:(X,Y) = (19.3883,7.00561)
33:(X,Y) = (24.2964,7.95965)
34:(X,Y) = (28.7904,5.7678)
35:(X,Y) = (24.8504,8.8461)
36:(X,Y) = (23.0585,13.514)
37:(X,Y) = (18.0775,13.9498)
38:(X,Y) = (22.3178,11.3002)
39:(X,Y) = (19.3789,15.3453)
40:(X,Y) = (22.5255,11.4595)
41:(X,Y) = (22.6127,16.4588)
42:(X,Y) = (17.7046,15.5047)
43:(X,Y) = (13.3745,18.0047)
44:(X,Y) = (12.2497,13.1329)
45:(X,Y) = (7.26874,12.6971)
46:(X,Y) = (10.9255,9.28711)
47:(X,Y) = (12.8792,4.68459)
48:(X,Y) = (7.87916,4.68459)
49:(X,Y) = (4.28246,8.15788)
50:(X,Y) = (-0.569018,9.36749)
51:(X,Y) = (2.71128,13.141)
52:(X,Y) = (-1.00445,9.79539)
53:(X,Y) = (-2.9581,14.3979)
54:(X,Y) = (-1.83335,19.2698)
55:(X,Y) = (2.97296,20.6479)
56:(X,Y) = (3.4956,15.6753)
57:(X,Y) = (0.281666,11.8451)
58:(X,Y) = (-1.51017,16.513)
59:(X,Y) = (0.913874,20.8861)
60:(X,Y) = (-2.36642,17.1126)
61:(X,Y) = (-6.65226,19.6878)
62:(X,Y) = (-1.74412,18.7337)
63:(X,Y) = (3.12773,19.8585)
64:(X,Y) = (3.12773,24.8585)
65:(X,Y) = (8.05177,25.7267)
66:(X,Y) = (12.8581,27.1049)
67:(X,Y) = (8.0066,25.8953)
68:(X,Y) = (12.0517,28.8342)
69:(X,Y) = (12.7475,23.8829)
70:(X,Y) = (10.2475,19.5527)
71:(X,Y) = (7.74755,15.2226)
72:(X,Y) = (2.99227,16.7677)
73:(X,Y) = (6.82249,13.5538)
74:(X,Y) = (2.32852,11.3619)
75:(X,Y) = (1.63265,6.41057)
76:(X,Y) = (1.98143,1.42275)
77:(X,Y) = (2.50408,6.39536)
78:(X,Y) = (3.88226,11.2017)
79:(X,Y) = (2.75751,16.0735)
80:(X,Y) = (-1.94096,14.3634)
81:(X,Y) = (0.172136,18.895)
82:(X,Y) = (1.63399,14.1134)
83:(X,Y) = (-1.90154,10.5779)
84:(X,Y) = (0.445819,14.9926)
85:(X,Y) = (0.620316,9.99568)
86:(X,Y) = (5.54435,9.12744)
87:(X,Y) = (10.1803,11.0005)
88:(X,Y) = (10.7896,15.9632)
89:(X,Y) = (8.99778,11.2953)
90:(X,Y) = (13.1911,14.0185)
91:(X,Y) = (13.1911,19.0185)
92:(X,Y) = (12.1516,23.9092)
93:(X,Y) = (7.16376,23.5605)
94:(X,Y) = (2.43616,25.1883)
95:(X,Y) = (5.51447,29.1283)
96:(X,Y) = (10.2129,27.4182)
97:(X,Y) = (14.4532,30.0678)
98:(X,Y) = (18.739,27.4927)
99:(X,Y) = (14.0114,29.1205)
100:(X,Y) = (10.3546,32.5305)
101:(X,Y) = (15.2787,31.6622)
102:(X,Y) = (15.017,36.6554)
103:(X,Y) = (16.2266,31.8039)
104:(X,Y) = (15.3584,26.8799)
105:(X,Y) = (19.6885,24.3799)
106:(X,Y) = (23.6817,27.389)
107:(X,Y) = (18.7576,28.2572)
108:(X,Y) = (13.7949,28.8665)
109:(X,Y) = (14.749,23.9584)
110:(X,Y) = (10.4188,26.4584)
111:(X,Y) = (6.47878,29.5367)
112:(X,Y) = (10.1355,32.9467)
113:(X,Y) = (6.60001,36.4822)
114:(X,Y) = (3.31971,40.2558)
115:(X,Y) = (-0.276984,43.7291)
116:(X,Y) = (3.49656,47.0094)
117:(X,Y) = (-0.696789,49.7326)
经过118步后，产生以下位置结果:
(X,Y) = (4.10952,51.1108)
或者为：
(m,a) = (51.2757,85.4031)
每一步经过的平均距离为 = 0.43454
目标距离：60,步长：2
0:(X,Y) = (0,0)
1:(X,Y) = (-0.069799,1.99878)
2:(X,Y) = (-0.485622,0.0424865)
3:(X,Y) = (1.51164,0.147158)
4:(X,Y) = (2.65879,1.78546)
5:(X,Y) = (2.17495,3.72605)
6:(X,Y) = (0.460611,4.75613)
7:(X,Y) = (2.4012,4.27229)
8:(X,Y) = (0.61919,3.36431)
9:(X,Y) = (-1.31266,3.88194)
10:(X,Y) = (0.0766547,2.44326)
11:(X,Y) = (-1.12698,4.04053)
12:(X,Y) = (0.862068,3.83148)
13:(X,Y) = (-0.992299,3.08226)
14:(X,Y) = (-2.30442,1.57285)
15:(X,Y) = (-4.19545,0.921709)
16:(X,Y) = (-2.44622,1.89133)
17:(X,Y) = (-2.55089,3.88859)
18:(X,Y) = (-0.610296,3.40474)
19:(X,Y) = (-1.29434,5.28413)
20:(X,Y) = (0.702923,5.17946)
21:(X,Y) = (2.46882,4.24051)
22:(X,Y) = (4.32319,3.4913)
23:(X,Y) = (4.73901,1.53501)
24:(X,Y) = (5.8574,3.19308)
25:(X,Y) = (6.3073,1.24434)
26:(X,Y) = (7.9456,0.0971877)
27:(X,Y) = (5.95321,-0.0771238)
28:(X,Y) = (7.23879,1.45497)
29:(X,Y) = (7.65461,3.41126)
30:(X,Y) = (8.30575,1.52022)
31:(X,Y) = (10.1851,0.836183)
32:(X,Y) = (11.2744,2.51352)
33:(X,Y) = (11.2744,4.51352)
34:(X,Y) = (12.5865,6.02294)
35:(X,Y) = (10.6014,5.7792)
36:(X,Y) = (8.92409,6.86848)
37:(X,Y) = (7.17486,7.8381)
38:(X,Y) = (5.1776,7.94277)
39:(X,Y) = (6.20767,9.65711)
40:(X,Y) = (7.05291,7.84449)
41:(X,Y) = (7.40021,9.81411)
42:(X,Y) = (8.54736,8.1758)
43:(X,Y) = (9.83293,6.64372)
44:(X,Y) = (10.2146,4.68046)
45:(X,Y) = (12.0689,5.42967)
46:(X,Y) = (13.5783,6.74179)
47:(X,Y) = (11.9203,7.86018)
48:(X,Y) = (13.2058,9.39227)
49:(X,Y) = (13.3454,7.39714)
50:(X,Y) = (12.9981,5.42752)
51:(X,Y) = (14.9932,5.28801)
52:(X,Y) = (15.9012,7.07002)
53:(X,Y) = (17.8999,7.13982)
54:(X,Y) = (19.8805,6.86148)
